date,service,type
"2011-12-02 04:06:50 +0000","twitter","tweet"
"2011-11-30 15:06:57 +0000","twitter","tweet"
"2011-11-30 11:31:50 +0000","twitter","tweet"
"2011-11-29 12:48:49 +0000","twitter","tweet"
"2011-11-29 04:03:53 +0000","twitter","tweet"
"2011-11-28 10:10:27 +0000","twitter","tweet"
"2011-11-28 02:46:39 +0000","twitter","tweet"
"2011-11-28 02:46:10 +0000","twitter","tweet"
"2011-11-28 02:44:02 +0000","twitter","tweet"
"2011-11-25 07:44:10 +0000","twitter","tweet"
"2011-11-24 15:57:40 +0000","twitter","tweet"
"2011-11-24 11:14:44 +0000","twitter","tweet"
"2011-11-24 08:25:51 +0000","twitter","tweet"
"2011-11-24 08:02:31 +0000","twitter","tweet"
"2011-11-24 07:05:37 +0000","twitter","tweet"
"2011-11-23 11:14:58 +0000","twitter","tweet"
"2011-11-22 07:22:36 +0000","twitter","tweet"
"2011-11-22 07:12:49 +0000","twitter","tweet"
"2011-11-22 07:09:31 +0000","twitter","tweet"
"2011-11-22 07:01:29 +0000","twitter","tweet"
"2011-11-22 06:47:06 +0000","twitter","tweet"
"2011-11-21 16:26:36 +0000","twitter","tweet"
"2011-11-21 07:42:33 +0000","twitter","tweet"
"2011-11-18 08:59:11 +0000","twitter","tweet"
"2011-11-18 06:03:11 +0000","twitter","tweet"
"2011-11-16 15:18:59 +0000","twitter","tweet"
"2011-11-15 10:50:13 +0000","twitter","tweet"
"2011-11-14 16:40:25 +0000","twitter","tweet"
"2011-11-14 03:37:00 +0000","twitter","tweet"
"2011-11-11 14:10:55 +0000","twitter","tweet"
"2011-11-10 13:47:45 +0000","twitter","tweet"
"2011-11-10 08:49:53 +0000","twitter","tweet"
"2011-11-10 04:11:28 +0000","twitter","tweet"
"2011-11-09 14:30:28 +0000","twitter","tweet"
"2011-11-09 07:22:39 +0000","twitter","tweet"
"2011-11-09 03:02:04 +0000","twitter","tweet"
"2011-11-09 02:28:41 +0000","twitter","tweet"
"2011-11-08 15:14:07 +0000","twitter","tweet"
"2011-11-08 14:57:29 +0000","twitter","tweet"
"2011-11-07 13:13:04 +0000","twitter","tweet"
"2011-11-05 03:44:55 +0000","twitter","tweet"
"2011-11-02 15:23:19 +0000","twitter","tweet"
"2011-11-02 11:07:08 +0000","twitter","tweet"
"2011-11-02 10:36:57 +0000","twitter","tweet"
"2011-11-02 10:25:54 +0000","twitter","tweet"
"2011-11-02 10:12:01 +0000","twitter","tweet"
"2011-11-02 10:11:18 +0000","twitter","tweet"
"2011-11-02 07:10:23 +0000","twitter","tweet"
"2011-11-01 06:49:49 +0000","twitter","tweet"
"2011-10-31 07:58:13 +0000","twitter","tweet"
"2011-10-30 15:55:21 +0000","twitter","tweet"
"2011-10-28 03:19:12 +0000","twitter","tweet"
"2011-10-27 03:20:24 +0000","twitter","tweet"
"2011-10-27 02:55:22 +0000","twitter","tweet"
"2011-10-26 16:13:17 +0000","twitter","tweet"
"2011-10-26 03:48:38 +0000","twitter","tweet"
"2011-10-26 03:37:27 +0000","twitter","tweet"
"2011-10-26 02:10:43 +0000","twitter","tweet"
"2011-10-25 08:59:04 +0000","twitter","tweet"
"2011-10-25 08:06:23 +0000","twitter","tweet"
"2011-10-23 14:09:43 +0000","twitter","tweet"
"2011-10-20 10:52:13 +0000","twitter","tweet"
"2011-10-18 13:15:43 +0000","twitter","tweet"
"2011-10-18 04:54:55 +0000","twitter","tweet"
"2011-10-18 04:21:15 +0000","twitter","tweet"
"2011-10-17 08:52:25 +0000","twitter","tweet"
"2011-10-17 02:05:25 +0000","twitter","tweet"
"2011-10-15 14:54:17 +0000","twitter","tweet"
"2011-10-14 10:13:50 +0000","twitter","tweet"
"2011-10-14 07:08:41 +0000","twitter","tweet"
"2011-10-14 01:45:41 +0000","twitter","tweet"
"2011-10-13 15:27:21 +0000","twitter","tweet"
"2011-10-13 14:42:57 +0000","twitter","tweet"
"2011-10-13 13:27:57 +0000","twitter","tweet"
"2011-10-13 02:34:03 +0000","twitter","tweet"
"2011-10-13 01:40:01 +0000","twitter","tweet"
"2011-10-12 07:20:25 +0000","twitter","tweet"
"2011-10-11 08:56:16 +0000","twitter","tweet"
"2011-10-11 08:20:07 +0000","twitter","tweet"
"2011-10-11 00:48:57 +0000","twitter","tweet"
"2011-10-07 05:14:33 +0000","twitter","tweet"
"2011-10-06 09:32:22 +0000","twitter","tweet"
"2011-10-06 03:38:14 +0000","twitter","tweet"
"2011-10-06 01:35:48 +0000","twitter","tweet"
"2011-10-04 18:40:57 +0000","twitter","tweet"
"2011-10-04 17:55:58 +0000","twitter","tweet"
"2011-10-04 17:51:37 +0000","twitter","tweet"
"2011-10-04 16:07:29 +0000","twitter","tweet"
"2011-10-04 04:40:02 +0000","twitter","tweet"
"2011-10-03 06:03:30 +0000","twitter","tweet"
"2011-10-03 03:16:02 +0000","twitter","tweet"
"2011-10-02 14:28:30 +0000","twitter","tweet"
"2011-09-30 15:30:45 +0000","twitter","tweet"
"2011-09-30 05:35:45 +0000","twitter","tweet"
"2011-09-30 05:18:43 +0000","twitter","tweet"
"2011-09-29 14:53:04 +0000","twitter","tweet"
"2011-09-29 07:32:34 +0000","twitter","tweet"
"2011-09-29 06:45:54 +0000","twitter","tweet"
"2011-09-28 14:39:59 +0000","twitter","tweet"
"2011-09-28 14:05:45 +0000","twitter","tweet"
"2011-09-28 02:32:08 +0000","twitter","tweet"
"2011-09-27 20:11:32 +0000","twitter","tweet"
"2011-09-27 17:46:15 +0000","twitter","tweet"
"2011-09-27 17:44:04 +0000","twitter","tweet"
